,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,vertexcover,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,graph_name
0,6,statevector,gaussian,vanilla,COBYLA,False,1,False,5000,1e-08,2,1.211611032485962,151,1.0,"[0, 1, 1, 0, 0, 0]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,[2.80669848 0.85635243],0.13532000793677096,0,>>graph6<<Emz_
1,9,statevector,gaussian,vanilla,COBYLA,False,1,False,5000,1e-08,2,3.470463752746582,105,1.0,"[1, 1, 1, 0, 0, 0, 0, 0, 0]",11.0,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,[2.83602311 0.59440888],0.033776681241561794,0,>>graph6<<HmzffJz
2,12,statevector,gaussian,vanilla,COBYLA,False,1,False,5000,1e-08,2,9.85547423362732,161,1.0,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0]",19.5,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,[2.84699263 0.50992898],0.009252026099305257,0,>>graph6<<KmzffJznl{hU
3,9,statevector,gaussian,vanilla,COBYLA,False,1,False,5000,1e-08,2,1.239898681640625,99,1.0,"[1, 1, 0, 1, 0, 1, 1, 0, 0]",8.0,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,[2.76316027 0.8768873 ],0.06961115420993189,0,>>graph6<<Hh_iS_u
4,6,statevector,gaussian,vanilla,COBYLA,True,1,False,5000,1e-08,2,0.7793729305267334,96,0.8947368421052632,"[1, 1, 1, 0, 0, 0]",4.25,"[0, 1.0, 1.0, 0, 0, 0]",4.75,[2.91740954 3.37794172],0.05431554426402628,0,>>graph6<<Emz_
5,9,statevector,gaussian,vanilla,COBYLA,True,1,False,5000,1e-08,2,4.216036081314087,96,1.0,"[1, 1, 1, 0, 0, 0, 0, 0, 0]",11.0,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,[3.44684553 0.64374531],0.10362867245069203,0,>>graph6<<HmzffJz
6,9,statevector,gaussian,vanilla,COBYLA,True,1,False,5000,1e-08,2,1.5405285358428955,85,1.0,"[1, 1, 0, 1, 0, 1, 1, 0, 0]",8.0,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,[3.51364337 0.91505255],0.17885707878947257,0,>>graph6<<Hh_iS_u
7,9,statevector,gaussian,vanilla,COBYLA,False,2,False,5000,1e-08,2,7.714398622512817,144,0.8181818181818182,"[1, 1, 0, 0, 1, 0, 0, 0, 0]",9.0,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,[4.28011875 1.86971532 3.05909768 2.67519889],0.027783138321381174,0,>>graph6<<HmzffJz
8,9,statevector,gaussian,vanilla,COBYLA,False,2,False,5000,1e-08,2,11.290100336074829,344,1.0,"[1, 1, 0, 1, 0, 1, 1, 0, 0]",8.0,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,[4.44072678 1.14004786 3.2188636  3.40095895],0.06258319517563037,0,>>graph6<<Hh_iS_u
9,6,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,9.026002883911133,311,0.8947368421052632,"[0, 1, 1, 1, 0, 0]",4.25,"[0, 1.0, 1.0, 0, 0, 0]",4.75,[4.23614935 1.55601357 3.49680777 0.81691148],0.036453055722009325,0,>>graph6<<Emz_
10,12,statevector,gaussian,vanilla,COBYLA,True,1,False,5000,1e-08,2,21.41858696937561,232,1.0,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0]",19.5,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,[1.65358967 0.08296945],0.5679915601365775,0,>>graph6<<KmzffJznl{hU
11,6,statevector,gaussian,vanilla,COBYLA,False,2,False,5000,1e-08,2,52.33537983894348,2352,1.0,"[0, 1, 1, 0, 0, 0]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,[2.69986631 1.30363481 0.71466794 1.3683697 ],0.36991086537146883,0,>>graph6<<Emz_
12,12,statevector,gaussian,vanilla,COBYLA,False,2,False,5000,1e-08,2,54.44745063781738,963,0.717948717948718,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0]",14.0,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,[3.59390823 1.64319806 3.86511845 1.70772261],0.001574193503537161,0,>>graph6<<KmzffJznl{hU
13,9,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,17.709999799728394,248,0.8863636363636364,"[0, 0, 0, 0, 0, 1, 1, 1, 1]",9.75,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,[2.92281424 1.38238684 3.72482761 1.63401426],0.00044761257366106896,0,>>graph6<<HmzffJz
14,12,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,30.156110286712646,248,0.9615384615384616,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]",18.75,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,[3.02474237 1.57670063 3.50242285 1.53582111],0.008188522513505849,0,>>graph6<<KmzffJznl{hU
15,9,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,8.273271560668945,167,0.9375,"[0, 1, 0, 1, 0, 1, 1, 0, 0]",7.5,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,[4.42050051 1.35445695 3.18529591 0.84231082],0.031696718312897214,0,>>graph6<<Hh_iS_u
16,6,statevector,gaussian,multiangle,COBYLA,False,1,False,5000,1e-08,2,10.196122407913208,550,1.0,"[0, 1, 1, 0, 0, 0]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,"[3.14159265 4.71238898 4.71238898 3.14159267 3.14159268 3.14159264
 4.06682318 3.13704725 2.49346434 2.70387113 1.96142073 0.92788206
 1.48962449 1.36987529 1.70382589 1.9202094 ]",0.9999999999999989,0,>>graph6<<Emz_
17,9,statevector,gaussian,multiangle,COBYLA,False,1,False,5000,1e-08,2,24.510473251342773,1462,1.0,"[1, 1, 1, 0, 0, 0, 0, 0, 0]",11.0,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,"[4.712389   4.71238895 4.71238896 6.2831853  3.14159261 3.14159266
 3.14159265 3.14159265 3.14159276 2.06211927 3.29898664 2.57689834
 3.21269816 3.08216797 4.41760009 3.13786208 3.16717364 3.30440309
 3.25161944 3.26985274 3.19260226 3.15088175 3.75246172 4.09003004
 3.22369155 3.07461854 1.36409645 1.32531593 0.76523638 1.7316618
 0.88186831 1.59844454 0.92220884 0.73702928]",0.9999999999999849,0,>>graph6<<HmzffJz
18,9,statevector,gaussian,multiangle,COBYLA,False,1,False,5000,1e-08,2,17.352059602737427,1185,0.96875,"[0, 1, 1, 1, 0, 1, 1, 0, 0]",7.75,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,"[3.14159266 4.71238897 4.71238879 4.71238902 6.28318531 4.71238897
 4.71238897 3.14159265 3.14159264 5.13295227 4.47017499 4.60914326
 3.20071096 2.82374118 1.26140846 1.78744982 1.5702621  1.89465735
 1.30599054 1.7427312  1.51202319 1.46568408 1.52971908]",1.5922502837842695e-30,0,>>graph6<<Hh_iS_u
19,6,statevector,gaussian,multiangle,COBYLA,True,1,False,5000,1e-08,2,13.750659704208374,1557,1.0,"[0, 1, 1, 0, 0, 0]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,"[1.57079636e+00 4.71238900e+00 1.57079631e+00 4.71238937e+00
 4.71238892e+00 4.71238901e+00 4.71238900e+00 3.14159270e+00
 3.14159263e+00 3.14159267e+00 1.57079633e+00 1.88662703e-08
 1.57079635e+00 3.14159264e+00 1.57079628e+00 1.57079633e+00]",0.7568673903430668,0,>>graph6<<Emz_
20,12,statevector,gaussian,multiangle,COBYLA,False,1,False,5000,1e-08,2,52.527663469314575,2184,1.0,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1]",19.5,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,"[3.14159266 4.712389   3.14159267 4.71238895 4.712389   4.71238898
 3.14159268 4.71238902 3.14159265 3.14159269 4.712389   3.14159266
 3.35694622 2.73262234 3.69633885 3.01295967 2.93508883 3.2049933
 3.74740753 3.46504769 2.76445575 4.04751647 3.34067871 4.2348748
 3.16366826 2.92282042 3.80156057 3.76783703 2.78618205 3.33067269
 2.98921183 3.82979458 2.83833443 2.77134345 3.48877249 3.15367955
 2.86547241 2.64322243 3.09325266 3.14927719 3.16685465 3.08846893
 3.35992747 3.59139499 1.63428732 1.55934478 1.30494625 1.38688596
 1.82190006 1.53756776 1.17829428 1.70409003 1.81118157 1.58035206
 1.30569168 1.73953512]",0.9999999999999949,0,>>graph6<<KmzffJznl{hU
21,9,statevector,gaussian,multiangle,COBYLA,True,1,False,5000,1e-08,2,47.50928258895874,5000,1.0,"[1, 1, 0, 1, 0, 1, 1, 0, 0]",8.0,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,"[5.07131097 4.71248883 4.47390861 4.70847064 1.5748964  1.56654043
 4.71041272 4.71226256 1.57157897 3.14154238 4.7151608  4.71281388
 3.15091847 3.14992575 1.85222478 1.57957273 1.57050551 1.57074719
 1.57044785 1.57046415 1.58453947 1.57051025 3.15063702]",0.6253227030949852,0,>>graph6<<Hh_iS_u
22,6,statevector,gaussian,multiangle,COBYLA,False,2,False,5000,1e-08,2,40.043782472610474,5000,1.0,"[1, 0, 0, 1, 1, 1]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,"[4.63088693 3.14161462 3.14158213 4.37310868 3.14159843 3.14215524
 3.22310966 3.1415867  3.14162449 3.48089301 1.57085107 1.57024156
 2.8035102  1.67472103 1.65673936 1.50003001 2.71115574 3.15772905
 2.98671446 3.40811511 2.69512507 3.34149649 4.47647929 3.16652853
 3.22856913 4.28998702 2.55974193 3.16588104 1.84409887 2.14157323
 1.53554437 1.56059262]",0.999998625329099,0,>>graph6<<Emz_
23,6,statevector,gaussian,vanilla,COBYLA,False,1,False,5000,1e-08,2,0.5252299308776855,155,1.0,"[0, 1, 1, 0, 0, 0]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,[2.80669846 0.85635244],0.13532001338819594,0,>>graph6<<Emz_
24,9,statevector,gaussian,vanilla,COBYLA,False,1,False,5000,1e-08,2,0.5946967601776123,88,1.0,"[1, 1, 1, 0, 0, 0, 0, 0, 0]",11.0,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,[2.8360231  0.59440889],0.03377668383916867,0,>>graph6<<HmzffJz
25,12,statevector,gaussian,vanilla,COBYLA,False,1,False,5000,1e-08,2,0.9635217189788818,68,0.6410256410256411,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",12.5,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,[4.35613964 2.45775766],0.00016452961827489535,0,>>graph6<<KmzffJznl{hU
26,9,statevector,gaussian,vanilla,COBYLA,False,1,False,5000,1e-08,2,0.4170963764190674,87,1.0,"[1, 1, 0, 1, 0, 1, 1, 0, 0]",8.0,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,[2.76316026 0.87688725],0.06961115294868436,0,>>graph6<<Hh_iS_u
27,6,statevector,gaussian,vanilla,COBYLA,True,1,False,5000,1e-08,2,0.4267871379852295,96,1.0,"[0, 1, 1, 0, 0, 0]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,[3.46581451 0.84399667],0.21130324462752195,0,>>graph6<<Emz_
28,9,statevector,gaussian,vanilla,COBYLA,True,1,False,5000,1e-08,2,0.6313655376434326,74,0.9318181818181818,"[1, 1, 1, 0, 1, 0, 0, 0, 0]",10.25,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,[3.01459487 2.1243091 ],0.024052942253200395,0,>>graph6<<HmzffJz
29,12,statevector,gaussian,vanilla,COBYLA,True,1,False,5000,1e-08,2,1.5009734630584717,85,1.0,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1]",19.5,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,[3.05473854 1.76036363],0.010912337276216716,0,>>graph6<<KmzffJznl{hU
30,9,statevector,gaussian,multiangle,COBYLA,True,1,False,5000,1e-08,2,63.94439339637756,5000,1.0,"[1, 1, 1, 0, 0, 0, 0, 0, 0]",11.0,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,"[4.72499999 4.7139976  1.60405576 4.70990246 4.71109652 1.57389771
 4.71788584 4.71743115 4.48788579 4.72240515 3.14839953 3.14131012
 3.1389076  3.14188878 4.7115223  3.14127841 3.14154826 3.13828103
 3.14193704 3.14087134 3.13910262 1.57268153 3.14064255 3.14067548
 3.14208511 1.57231864 1.57153355 1.58836865 0.01778567 1.62641067
 1.57342783 1.59467158 1.57045971 1.57057357]",0.6493038578386867,0,>>graph6<<HmzffJz
31,9,statevector,gaussian,multiangle,COBYLA,False,2,False,5000,1e-08,2,58.81197643280029,5000,0.96875,"[1, 0, 0, 0, 1, 0, 0, 1, 1]",7.75,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,"[4.72036156 2.75721058 3.14154165 3.14157836 3.9133517  4.06456875
 4.13753768 3.14160638 3.36656515 3.14960709 3.52599176 3.14175386
 3.14161991 2.34253401 0.92291519 2.14560321 1.57076751 1.79573568
 1.01351644 0.8006919  1.45460805 1.48746701 1.93916068 3.79528939
 2.63215111 3.35255512 3.37948474 2.41567334 3.25936699 3.48269427
 2.9757003  3.33876138 4.51663915 4.71232782 3.13679234 3.15674926
 2.64837345 2.03495171 1.7664881  1.56048745 1.57083794 1.57083683
 1.61731391 1.61723566 1.57080308 1.57077021]",2.9803534208565515e-13,0,>>graph6<<Hh_iS_u
32,6,statevector,gaussian,multiangle,COBYLA,True,2,False,5000,1e-08,2,50.771870374679565,5000,1.0,"[0, 1, 1, 0, 0, 0]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,"[4.83210418 4.17841498 3.04173016 1.72044859 3.18293079 4.33792008
 3.8126176  4.0619836  4.77013976 2.64374024 1.53371681 2.07831562
 1.57089193 1.62893388 1.58057088 1.44884645 3.13519339 2.57457453
 3.08178817 3.11811969 4.66521839 3.18336256 3.15977006 2.90433003
 3.07524976 3.45666812 1.60417107 2.12427588 1.66917707 1.63270544
 1.90685159 1.23723816]",0.9071567451268212,0,>>graph6<<Emz_
33,9,statevector,gaussian,vanilla,COBYLA,True,1,False,5000,1e-08,2,0.4884035587310791,73,0.9375,"[0, 1, 0, 1, 0, 1, 1, 0, 0]",7.5,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,[2.94687255 2.44736349],0.02885855898926517,0,>>graph6<<Hh_iS_u
34,6,statevector,gaussian,vanilla,COBYLA,False,2,False,5000,1e-08,2,3.0337584018707275,554,1.0,"[0, 1, 1, 0, 0, 0]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,[2.69986631 1.30363481 0.71466791 1.36836949],0.3699108536981534,0,>>graph6<<Emz_
