,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,vertexcover,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,graph_name
0,6,statevector,gaussian,vanilla,COBYLA,True,1,True,5000,1e-08,2,4.370038747787476,632,1.6666666666666667,"[1, 1, 1, 1, 1, 0]",5,"[1.0, 1.0, 1.0, 0, 0, 0]",3.0,[3.52709888 0.40382979],0.07899684987582678,2,>>graph6<<Emz_
1,9,statevector,gaussian,vanilla,COBYLA,True,1,True,5000,1e-08,2,20.460931301116943,1563,1.3333333333333333,"[1, 1, 1, 1, 0, 0, 1, 0, 1]",8,"[1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0]",6.0,[3.1635518  1.57055922],0.03574776814824306,2,>>graph6<<HmzffJz
2,9,statevector,gaussian,vanilla,COBYLA,True,1,True,5000,1e-08,2,0.6501846313476562,72,1.2,"[1, 0, 1, 0, 1, 0, 1, 1, 1]",6,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",5.0,[3.62099292 2.79920558],0.03752522036642379,2,>>graph6<<Hh_iS_u
3,6,statevector,gaussian,vanilla,COBYLA,True,1,True,5000,1e-08,2,0.4552621841430664,72,1.3333333333333333,"[1, 1, 0, 0, 1, 1]",4,"[1.0, 1.0, 1.0, 0, 0, 0]",3.0,[2.66396103 3.4383895 ],0.014471536478363859,4,>>graph6<<Emz_
4,12,statevector,gaussian,vanilla,COBYLA,True,1,True,5000,1e-08,2,3.7918238639831543,187,1.3333333333333333,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12,"[1.0, 1.0, 1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 1.0, 1.0, 0]",9.0,[3.78294946 0.1648429 ],0.03671175275482416,4,>>graph6<<KmzffJznl{hU
5,9,statevector,gaussian,vanilla,COBYLA,True,1,True,5000,1e-08,2,0.5982518196105957,68,1.6,"[1, 1, 0, 1, 1, 1, 1, 1, 1]",8,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",5.0,[3.56602768 2.77761552],0.009251457154168164,4,>>graph6<<Hh_iS_u
6,6,statevector,gaussian,vanilla,COBYLA,True,1,True,5000,1e-08,2,0.5960073471069336,77,1.3333333333333333,"[1, 1, 1, 1, 0, 0]",4,"[1.0, 1.0, 1.0, 0, 0, 0]",3.0,[4.39993521 2.41013777],0.12669646313525304,6,>>graph6<<Emz_
7,9,statevector,gaussian,vanilla,COBYLA,True,1,True,5000,1e-08,2,1.448338270187378,116,1.5,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,"[1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0]",6.0,[3.78029176 2.92617958],0.02271967730175619,6,>>graph6<<HmzffJz
8,12,statevector,gaussian,vanilla,COBYLA,True,1,True,5000,1e-08,2,1.9141778945922852,92,2.111111111111111,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0]",19,"[1.0, 1.0, 1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 1.0, 1.0, 0]",9.0,[2.81317121 2.53999006],0.0014957150574455306,6,>>graph6<<KmzffJznl{hU
9,9,statevector,gaussian,vanilla,COBYLA,True,1,True,5000,1e-08,2,0.7371752262115479,79,1.2,"[1, 1, 0, 1, 0, 1, 1, 0, 1]",6,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",5.0,[3.69427    2.76650357],0.010707395406489094,6,>>graph6<<Hh_iS_u
